LOCATIONID,STATISTICSGROUPCODE,DEPARTMENTCODE,AXBATCHCODE,ZONE,TERRITORY,REGION,DISTRICT,STORE,BUSINESSLINE,BU,BUNAME,BUDTL,COMPANY,COMPANYNAME,STORETYPE,CHAIN,DATAAREAID,,
3006,300601,3002,NULL,301,304,304,3002,3006,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,SIS,KOR,7107,,
50339,S055801,S0558,NULL,504,513,513,5881,50339,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
53013,1458003,14510,NULL,504,513,513,5201,53013,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
CB7101,CB7101,NA,NULL,750,755,795,795,79988,NA,HKG FP,GCSEA FULL PRICE,RLCHMT,AP FP,APAC FULL PRICE,DC-PP,MO,7101,,
30359,3035901,3166,NULL,305,315,316,3166,30359,Wholesale,AP RLW,APAC WHOLESALE,RLWKOR,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,KOR,7107,,
50264,2040402,20404,NULL,503,506,506,5110,50264,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
79932,7993201,NA,NULL,756,771,7409,7488,79932,NA,HKG FP,GCSEA FULL PRICE,RLSSEA,AP FP,APAC FULL PRICE,GWP,MY,7102,,
50326,S054501,S0545,NULL,504,513,513,5868,50326,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
7490,749001,7490,NULL,750,752,7412,7415,7490,NA,HKG FP,GCSEA FULL PRICE,RLCHMT,AP FP,APAC FULL PRICE,POP-UP,TW,7104,,
55408,S030701,S0307,NULL,504,510,510,5609,55408,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
30322,3032201,3131,NULL,301,301,301,3131,30322,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,POP-UP,KOR,7107,,
30207,3020701,3057,NULL,301,304,304,3057,30207,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,SIS,KOR,7107,,
