INVENTBATCHID,INVENTCOLORID,INVENTDIMID,INVENTLOCATIONID,INVENTSITEID,INVENTSIZEID,DATAAREAID1,DATAAREAID
,400,#00000001504AA5D8,70000,7111,34/32,7111,7111
,400,#00000001505F8AC1,70000,7111,30/30,7111,7111
,B82,#000000015007359F,71002,7111,L,7111,7111
,D86,#00000001500735A4,71002,7111,M,7111,7111
,20,#000000015020C75A,71002,7111,M,7111,7111
,1,#000000015020DFDA,71002,7111,M,7111,7111
,1,#000000015020DFE2,71002,7111,L,7111,7111
,410,#000000015020E00E,71002,7111,M,7111,7111
,410,#000000015020E034,71002,7111,XL,7111,7111
,100,#000000015020E047,71002,7111,XS,7111,7111
,100,#000000015020E06A,71002,7111,M,7111,7111
,100,#00000001502100C2,71002,7111,L,7111,7111
,100,#000000015024BEB2,71002,7111,XL,7111,7111
,400,#000000015024BEB6,71002,7111,M,7111,7111
,400,#000000015024BEBA,71002,7111,XL,7111,7111
,410,#00000001502A253B,71002,7111,XS,7111,7111
,300,#00000001502A2559,71002,7111,M,7111,7111
,300,#00000001502A2566,71002,7111,XL,7111,7111
,400,#00000001502A2571,71002,7111,L,7111,7111
,600,#00000001502A258C,71002,7111,S,7111,7111
,600,#00000001502A2599,71002,7111,L,7111,7111
,400,#00000001502A25A8,71002,7111,S,7111,7111
,650,#00000001502AB989,71002,7111,XS,7111,7111
,650,#00000001502AB9A2,71002,7111,L,7111,7111
,410,#00000001502CC7DD,71002,7111,ONE,7111,7111
,20,#00000001502CC7DF,71002,7111,XL,7111,7111
,500,#00000001502DC50B,71002,7111,XS,7111,7111
,100,#0000000150306A70,71002,7111,ONE,7111,7111
,101,#0000000150308866,71002,7111,S,7111,7111
,101,#0000000150308867,71002,7111,M,7111,7111
,250,#0000000150317094,71002,7111,2,7111,7111
,410,#0000000150327786,71002,7111,2,7111,7111
,1,#00000001503357B3,71002,7111,ONE,7111,7111
,999,#000000015033EEDF,71002,7111,M,7111,7111
,999,#000000015033EEE0,71002,7111,L,7111,7111
,999,#000000015033EEE1,71002,7111,XL,7111,7111
,20,#0000000150345157,71002,7111,ONE,7111,7111
,200,#00000001503556C7,71002,7111,S,7111,7111
,200,#000000015035570B,71002,7111,XL,7111,7111
