ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
MNBLSPCK7F10045,0,MN,MN,BL,K,SPC,7F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FPVST55,NULL,NULL,0,NOS2015,NOS,2015,JP MTM BLAZER-TBD,FULLPRICE,FULLPRICE,MTM
MNBLSPCK7I10045,0,MN,MN,BL,K,SPC,7I,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FPSPC94,NULL,NULL,0,NOS2015,NOS,2015,JP MTM BLAZER-TBD,FULLPRICE,FULLPRICE,MTM
MNBLSPCK7I10056,0,MN,MN,BL,K,SPC,7I,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FPSPC105,NULL,NULL,0,NOS2015,NOS,2015,JP MTM BLAZER-TBD,FULLPRICE,FULLPRICE,MTM
MNBLSPCK7I10071,0,MN,MN,BL,K,SPC,7I,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FPSPC120,NULL,NULL,0,NOS2015,NOS,2015,JP MTM BLAZER-TBD,FULLPRICE,FULLPRICE,MTM
MNBLSPCK7I10074,0,MN,MN,BL,K,SPC,7I,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FPSPC123,NULL,NULL,0,NOS2015,NOS,2015,JP MTM BLAZER-TBD,FULLPRICE,FULLPRICE,MTM
CWPO2STI0510008,0,CW,CW,PO,I,2ST,9S,ST,SETS,SHS,SHORT SET,N/A,NO SUBCLASS,320,CB PRL APP BABY BOYS,WHITE,KFBASY200,CHILDRENS APPAREL,NULL,13.6,BSR9990,BSR,9990,BOY BEAR-SETS-3 PC SET-INTERLOCK,FULLPRICE,PSR,C001_P006
CWPOACCB9P10038,0,CW,CW,PO,B,ACC,9P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SCHOOL NAT,NULL,NULL,0,BSR9990,BSR,9990,SCHOOL BACKPACK NATURAL LEATHER TARTAN PLAID BROWN,FULLPRICE,FULLPRICE,A004_P004
CWPOACCY9P10094,0,CW,CW,PO,Y,ACC,9P,BG,BAGS,BPK,BACKPACK,LRG,LARGE,400,CB PRL ACC,NAVY-410,POLO PATCH,ACCESSORIES,NULL,19.4,FAL2019,FAL,2019,O PATCH LETTER CANVAS BACKPACK,DUAL PRICE,OUTLET,A004_P004
CWPODNMB0910026,0,CW,CW,PO,B,DNM,76,JE,JEANS,CLA,CLASSIC,N/A,NO SUBCLASS,322,CB PRL APP BOYS 2-7,BLUE,R194BC53,CHILDRENS APPAREL,NULL,9.51,NOS9990,NOS,9990,ELDRIDGE SKN-BOTTOMS-DENIM-DENIM,FULLPRICE,FULLPRICE,C002_P002
CWPODNMY0910023,0,CW,CW,PO,Y,DNM,76,JE,JEANS,CLA,CLASSIC,N/A,NO SUBCLASS,323,CB PRL APP BOYS 8-20,BLUE,R194BC71,CHILDRENS APPAREL,NULL,11.49,NOS9990,NOS,9990,ELDRIDGE SKN-BOTTOMS-DENIM-DENIM,FULLPRICE,FULLPRICE,C004_P001
